"BehaviorSpace results (NetLogo 6.0.2)"
"EW draft 1.nlogo"
"experiment1"
"04/04/2018 19:57:52:203 -0700"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-10","10","-10","10"
"[run number]","numMonths","adaptThreshold","adaptCostPerUnit","intensityThreshold","damageRatioThreshold","repairRatio","choose-strategy","interval","maxMemoryLength","changeRepairRatio?","maxPrevention","orgBudget","ExtremeWeatherDamage","cumDamageRatioThreshold","[step]","mean [infraQuality] of serviceArea","mean [infraVulnerability] of serviceArea","mean [currentDamage] of serviceArea","extremeWeatherFreq","mean [prevention] of serviceArea"
"4","24","4","1","0.8","0.08","0.5","""rememberFrequency""","11","5","false","0","0","0","5","0","53.41975308641975","0.032756978949419605","0","0","0"
"3","24","4","1","0.8","0.08","0.5","""rememberFrequency""","11","5","false","0","0","0","5","0","43.49382716049383","0.06404772882996336","0","0","0"
"7","24","4","1","0.8","0.08","0.5","""rememberFrequency""","11","5","false","0","0","5","2","0","51.839506172839506","0.06809187741850549","0","0","0"
"8","24","4","1","0.8","0.08","0.5","""rememberFrequency""","11","5","false","0","0","5","2","0","51.901234567901234","0.062437710674278425","0","0","0"
"5","24","4","1","0.8","0.08","0.5","""rememberFrequency""","11","5","false","0","0","0","10","0","49.925925925925924","0.06135906357170683","0","0","0"
"2","24","4","1","0.8","0.08","0.5","""rememberFrequency""","11","5","false","0","0","0","2","0","44.79012345679013","0.08784412594184976","0","0","0"
"6","24","4","1","0.8","0.08","0.5","""rememberFrequency""","11","5","false","0","0","0","10","0","49.75308641975309","0.0464167517100173","0","0","0"
"4","24","4","1","0.8","0.08","0.5","""rememberFrequency""","11","5","false","0","0","0","5","1","53.41975308641975","0.03275697894941961","0","0","0"
"5","24","4","1","0.8","0.08","0.5","""rememberFrequency""","11","5","false","0","0","0","10","1","49.925925925925924","0.06135906357170683","0","0","0"
"7","24","4","1","0.8","0.08","0.5","""rememberFrequency""","11","5","false","0","0","5","2","1","51.839506172839506","0.0680918774185055","0","0","0"
"4","24","4","1","0.8","0.08","0.5","""rememberFrequency""","11","5","false","0","0","0","5","2","53.41975308641975","0.03275697894941961","0","0","0"
"5","24","4","1","0.8","0.08","0.5","""rememberFrequency""","11","5","false","0","0","0","10","2","49.925925925925924","0.06135906357170687","0","0","0"
"5","24","4","1","0.8","0.08","0.5","""rememberFrequency""","11","5","false","0","0","0","10","3","49.925925925925924","0.06135906357170683","0","0","0"
"7","24","4","1","0.8","0.08","0.5","""rememberFrequency""","11","5","false","0","0","5","2","2","51.839506172839506","0.0680918774185055","0","0","0"
"5","24","4","1","0.8","0.08","0.5","""rememberFrequency""","11","5","false","0","0","0","10","4","49.925925925925924","0.06135906357170683","0","0","0"
"7","24","4","1","0.8","0.08","0.5","""rememberFrequency""","11","5","false","0","0","5","2","3","51.839506172839506","0.06809187741850549","0","0","0"
"5","24","4","1","0.8","0.08","0.5","""rememberFrequency""","11","5","false","0","0","0","10","5","49.925925925925924","0.061359063571706826","0","0","0"
"8","24","4","1","0.8","0.08","0.5","""rememberFrequency""","11","5","false","0","0","5","2","1","51.901234567901234","0.062437710674278425","0","0","0"
"7","24","4","1","0.8","0.08","0.5","""rememberFrequency""","11","5","false","0","0","5","2","4","51.839506172839506","0.06809187741850552","0","0","0"
"7","24","4","1","0.8","0.08","0.5","""rememberFrequency""","11","5","false","0","0","5","2","5","51.839506172839506","0.06809187741850549","0","0","0"
"7","24","4","1","0.8","0.08","0.5","""rememberFrequency""","11","5","false","0","0","5","2","6","51.839506172839506","0.06809187741850549","0","0","0"
"3","24","4","1","0.8","0.08","0.5","""rememberFrequency""","11","5","false","0","0","0","5","1","43.49382716049383","0.06404772882996336","0","1","0"
"7","24","4","1","0.8","0.08","0.5","""rememberFrequency""","11","5","false","0","0","5","2","7","51.839506172839506","0.06809187741850552","0","0","0"
"2","24","4","1","0.8","0.08","0.5","""rememberFrequency""","11","5","false","0","0","0","2","1","44.79012345679013","0.08784412594184976","0","0","0"
"4","24","4","1","0.8","0.08","0.5","""rememberFrequency""","11","5","false","0","0","0","5","3","53.41975308641975","0.0327569789494196","0","1","0"
"2","24","4","1","0.8","0.08","0.5","""rememberFrequency""","11","5","false","0","0","0","2","2","44.79012345679013","0.08784412594184976","0","0","0"
"4","24","4","1","0.8","0.08","0.5","""rememberFrequency""","11","5","false","0","0","0","5","4","53.41975308641975","0.032756978949419605","0","2","0"
"4","24","4","1","0.8","0.08","0.5","""rememberFrequency""","11","5","false","0","0","0","5","5","53.41975308641975","0.03275697894941961","0","2","0"
"2","24","4","1","0.8","0.08","0.5","""rememberFrequency""","11","5","false","0","0","0","2","3","44.79012345679013","0.08784412594184976","0","0","0"
"3","24","4","1","0.8","0.08","0.5","""rememberFrequency""","11","5","false","0","0","0","5","2","43.49382716049383","0.06404772882996335","0","2","0"
"7","24","4","1","0.8","0.08","0.5","""rememberFrequency""","11","5","false","0","0","5","2","8","51.839506172839506","0.0680918774185055","0","0","0"
"3","24","4","1","0.8","0.08","0.5","""rememberFrequency""","11","5","false","0","0","0","5","3","43.49382716049383","0.06404772882996335","0","2","0"
"7","24","4","1","0.8","0.08","0.5","""rememberFrequency""","11","5","false","0","0","5","2","9","51.839506172839506","0.06809187741850552","0","0","0"
